"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","weight","age","empl"
"201712","2","June","English","2","27","2","Male","2","2","1","2","2","1","1","1","1","1","2","1","1","2","3","1","2","2","2","1","2","1","3","1","2","2","3","1","2","1","1","2","2","3","2","1",4.90322580645161,36,"Employed"
"201712","2","June","English","2","27","2","Male","2","2","1","2","2","1","1","1","1","1","2","1","1","2","3","1","2","2","2","1","2","1","3","1","2","2","3","1","2","1","1","2","2","3","2","1",4.90322580645161,36,"Employed"
"201712","2","June","English","2","27","2","Male","2","2","1","2","2","1","1","1","1","1","2","1","1","2","3","1","2","2","2","1","2","1","3","1","2","2","3","1","2","1","1","2","2","3","2","1",4.90322580645161,36,"Employed"
"201712","2","June","English","2","27","2","Male","2","2","1","2","2","1","1","1","1","1","2","1","1","2","3","1","2","2","2","1","2","1","3","1","2","2","3","1","2","1","1","2","2","3","2","1",4.90322580645161,36,"Employed"
"201713","2","June","English","2","17","1","Female","1","3","1","1","1","1","1","1","1","1","1","1","1","3","9","1","3","9","9","1","2","2","3","1","2","2","2","1","2","1","3","2","1","2","2","1",2,50,"Employed"
"201713","2","June","English","2","17","1","Female","1","3","1","1","1","1","1","1","1","1","1","1","1","3","9","1","3","9","9","1","2","2","3","1","2","2","2","1","2","1","3","2","1","2","2","1",2,50,"Employed"
"201714","2","June","English","3","48","2","Female","1","1","1","1","2","1","1","1","1","1","2","1","1","3","1","9","3","9","3","1","1","2","3","2","1","2","2","1","2","2","2","2","2","1","2","3",4.7741935483871,34,"Employed"
"201714","2","June","English","3","48","2","Female","1","1","1","1","2","1","1","1","1","1","2","1","1","3","1","9","3","9","3","1","1","2","3","2","1","2","2","1","2","2","2","2","2","1","2","3",4.7741935483871,34,"Employed"
"201714","2","June","English","3","48","2","Female","1","1","1","1","2","1","1","1","1","1","2","1","1","3","1","9","3","9","3","1","1","2","3","2","1","2","2","1","2","2","2","2","2","1","2","3",4.7741935483871,34,"Employed"
"201714","2","June","English","3","48","2","Female","1","1","1","1","2","1","1","1","1","1","2","1","1","3","1","9","3","9","3","1","1","2","3","2","1","2","2","1","2","2","2","2","2","1","2","3",4.7741935483871,34,"Employed"
"201714","2","June","English","3","48","2","Female","1","1","1","1","2","1","1","1","1","1","2","1","1","3","1","9","3","9","3","1","1","2","3","2","1","2","2","1","2","2","2","2","2","1","2","3",4.7741935483871,34,"Employed"
"201722","2","June","English","2","19","1","Male","2","3","1","2","1","1","1","1","1","1","1","1","1","2","3","1","2","9","1","1","2","1","2","1","1","2","3","6","3","2","1","2","1","1","2","1",7,19,"Employed"
"201722","2","June","English","2","19","1","Male","2","3","1","2","1","1","1","1","1","1","1","1","1","2","3","1","2","9","1","1","2","1","2","1","1","2","3","6","3","2","1","2","1","1","2","1",7,19,"Employed"
"201722","2","June","English","2","19","1","Male","2","3","1","2","1","1","1","1","1","1","1","1","1","2","3","1","2","9","1","1","2","1","2","1","1","2","3","6","3","2","1","2","1","1","2","1",7,19,"Employed"
"201722","2","June","English","2","19","1","Male","2","3","1","2","1","1","1","1","1","1","1","1","1","2","3","1","2","9","1","1","2","1","2","1","1","2","3","6","3","2","1","2","1","1","2","1",7,19,"Employed"
"201722","2","June","English","2","19","1","Male","2","3","1","2","1","1","1","1","1","1","1","1","1","2","3","1","2","9","1","1","2","1","2","1","1","2","3","6","3","2","1","2","1","1","2","1",7,19,"Employed"
